		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
000101001   26   31   19   18   22   20   24   25  6.009639 0.646152 SUCCESS  19
000101011   20   23   22   21   11   28   14   24 14.378387 0.072421 SUCCESS  20
000101101   22   23   24   19   19   30   27   25  4.434127 0.815987 SUCCESS  21
000101111   32   25   21   33   25   33   23   23  9.402947 0.309452 SUCCESS  22
000110011   20   18   39   25   27   32   24   25 14.359190 0.072870 SUCCESS  23
000110101   21   20   15   29   19   19   31   19 11.498775 0.175007 SUCCESS  24
000110111   17   20   22   26   25   27   31   24  5.646212 0.686793 SUCCESS  25
000111001   25   29   25   29   26   20   25   24  2.775205 0.947663 SUCCESS  26
000111011   30   18   26   22   31   27   33   23  8.766785 0.362350 SUCCESS  27
000111101   24   25   27   25   22   21   20   18  3.611286 0.890383 SUCCESS  28
000111111   25   23   22   34   33   31   20   26 10.156942 0.254183 SUCCESS  29
001000011   26   16   21   18   23   24   26   28  6.068555 0.639553 SUCCESS  30
001000101   23   31   25   24   20   24   17   16  8.084945 0.425217 SUCCESS  31
001000111   33   28   27   27   30   30   25   31  8.778038 0.361365 SUCCESS  32
001001011   24   29   25   17   33   10   27   25 15.458076 0.050827 SUCCESS  33
001001101   33   27   24   25   34   29   27   17 10.852021 0.210226 SUCCESS  34
001001111   24   24   23   36   18   25   24   28  8.104805 0.423300 SUCCESS  35
001010011   28   30   18   19   26   20   26   23  5.967934 0.650824 SUCCESS  36
001010101   27   28   20   20   26   24   23   30  4.003178 0.856837 SUCCESS  37
001010111   15   15   23   30   12   28   25   17 18.293336 0.019132 SUCCESS  38
001011011   20   17   33   15   19   25   26   25 11.389549 0.180588 SUCCESS  39
001011101   21   31   32   26   20   10   25   28 15.060227 0.057985 SUCCESS  40
001011111   36   28   25   31   25   29   26   24  9.141465 0.330503 SUCCESS  41
001100101   29   30   37   28   29   25   30   18 13.480081 0.096365 SUCCESS  42
001100111   20   19   35   21   21   29   22   32 11.383591 0.180897 SUCCESS  43
001101011   25   24   24   26   22   16   23   22  3.696019 0.883456 SUCCESS  44
001101101   19   24   27   20   25   26   21   24  2.967842 0.936359 SUCCESS  45
001101111   17   19   24   18   28   21   20   24  7.160160 0.519456 SUCCESS  46
001110101   26   26   36   19   19   24   34   19 13.536349 0.094680 SUCCESS  47
001110111   25   23   17   32   28   19   29   31  9.393018 0.310233 SUCCESS  48
001111011   21   22   26   23   16   15   18   27  9.676345 0.288481 SUCCESS  49
001111101   21   26   25   28   16   28   28   24  5.256968 0.729791 SUCCESS  50
001111111   24   25   26   34   29   23   24   28  5.572732 0.694969 SUCCESS  51
010000011   34   17   12   15   31   21   17   25 21.149779 0.006760 FAILURE  52
010000111   19   28   40   24   21   20   30   24 14.748434 0.064226 SUCCESS  53
010001011   27   23   22   24   20   24   18   20  4.000530 0.857076 SUCCESS  54
010001111   29   22   27   27   28   31   27   28  4.946499 0.763279 SUCCESS  55
010010011   36   26   31   21   20   30   33   21 13.919635 0.083884 SUCCESS  56
010010111   24   28   29   26   31   13   23   18 10.730217 0.217459 SUCCESS  57
010011011   23   18   28   20   21   24   25   25  3.713231 0.882026 SUCCESS  58
010011111   23   32   15   42   18   21   18   26 23.466046 0.002815 FAILURE  59
010100011   16   28   37   32   26   21   23   19 14.629278 0.066768 SUCCESS  60
010100111   24   29   17   23   23   24   24   25  3.417326 0.905510 SUCCESS  61
010101011   24   22   24   18   23   13   27   30  9.195086 0.326107 SUCCESS  62
010101111   12   18   30   27   21   26   30   22 12.034317 0.149679 SUCCESS  63
010110011   25   20   18   23   21   28   22   26  4.043559 0.853172 SUCCESS  64
010110111   20   21   28   20   29   30   27   25  5.206657 0.735277 SUCCESS  65
010111011   19   28   24   26   20   15   32   27  9.196410 0.325999 SUCCESS  66
010111111   30   27   23   25   18   29   31   27  6.478982 0.593740 SUCCESS  67
011000111   17   19   21   32   29   26   25   21  8.001536 0.433320 SUCCESS  68
011001111   16   25   29   25   16   18   23   21  9.210973 0.324812 SUCCESS  69
011010111   25   20   20   24   23   20   23   28  3.196225 0.921446 SUCCESS  70
011011111   17   22   22   19   31   32   29   25  9.248044 0.321805 SUCCESS  71
011101111   18   29   21   20   26   18   33   29  9.815361 0.278225 SUCCESS  72
011111111   34   32   26   23   24   21   27   35 12.089923 0.147237 SUCCESS  73
100000000   28   24   21   33   24   23   25   26  4.393746 0.819967 SUCCESS  74
100010000   21   22   24   19   29   44   21   28 20.188584 0.009646 FAILURE  75
100100000   32   28   20   22   30   20   29   25  7.122427 0.523483 SUCCESS  76
100101000   26   24   39   27   24   23   17   21 12.332870 0.136959 SUCCESS  77
100110000   25   19   23   24   23   31   20   27  4.375211 0.821784 SUCCESS  78
100111000   32   29   21   22   35   26   26   17 11.376309 0.181275 SUCCESS  79
101000000   23   27   25   20   21   18   26   17  5.856059 0.663352 SUCCESS  80
101000100   22   20   26   30   25   24   15   33  9.400299 0.309660 SUCCESS  81
101001000   32   28   16   18   24   25   22   30  9.315566 0.316379 SUCCESS  82
101001100   23   37   21   20   28   29   17   19 13.119964 0.107788 SUCCESS  83
101010000   35   28   17   25   26   17   29   19 12.205108 0.142284 SUCCESS  84
101010100   26   31   28   21   16   35   23   22 11.070474 0.197738 SUCCESS  85
101011000   20   28   18   26   24   16   17   24  8.533106 0.383198 SUCCESS  86
101011100   18   23   23   18   14   27   20   30 10.651441 0.222242 SUCCESS  87
101100000   30   29   27   26   16   21   21   20  7.408402 0.493277 SUCCESS  88
101100100   21   34   31   23   27   27   24   22  7.148244 0.520726 SUCCESS  89
