		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  276  238  228  273  246  241  241  270 12.031615 0.149799 SUCCESS   0
000000011  263  242  261  257  255  263  240  267  7.736690 0.459605 SUCCESS   1
000000101  241  216  223  245  247  226  232  237  7.551336 0.478476 SUCCESS   2
000000111  226  235  281  237  280  263  234  275 19.155577 0.014049 SUCCESS   3
000001001  251  238  256  253  221  252  209  217 12.162952 0.144080 SUCCESS   4
000001011  253  235  245  226  244  246  249  263  3.706557 0.882581 SUCCESS   5
000001101  300  234  227  260  262  245  261  249 18.635526 0.016935 SUCCESS   6
000001111  234  233  254  214  272  249  234  247  9.078656 0.335704 SUCCESS   7
000010001  240  218  247  245  259  236  257  230  5.766638 0.673353 SUCCESS   8
000010011  225  230  239  257  220  248  202  222 15.329863 0.053040 SUCCESS   9
000010101  222  257  242  246  236  255  233  260  5.183037 0.737846 SUCCESS  10
000010111  235  264  239  212  263  245  245  272 11.317736 0.184338 SUCCESS  11
000011001  267  278  232  275  263  266  253  252 15.873216 0.044231 SUCCESS  12
000011011  276  217  254  236  238  243  274  225 13.609775 0.092521 SUCCESS  13
000011101  225  254  267  255  249  282  231  244 11.588883 0.170511 SUCCESS  14
000011111  227  248  254  231  250  236  240  225  4.496696 0.809764 SUCCESS  15
000100011  237  222  250  232  265  234  257  234  6.475222 0.594157 SUCCESS  16
000100101  242  270  240  242  239  253  233  238  4.075148 0.850280 SUCCESS  17
000100111  244  234  246  253  230  250  207  235  7.966530 0.436746 SUCCESS  18
000101001  234  239  212  254  260  219  233  236  9.877268 0.273746 SUCCESS  19
000101011  227  242  237  236  244  261  268  248  5.441474 0.709515 SUCCESS  20
000101101  270  237  245  225  218  247  262  264 10.558313 0.228003 SUCCESS  21
000101111  246  257  232  229  259  235  258  278  9.276720 0.319493 SUCCESS  22
000110011  269  282  252  240  260  245  260  255 11.673617 0.166371 SUCCESS  23
000110101  248  247  229  252  247  229  243  266  4.367478 0.822540 SUCCESS  24
000110111  291  227  225  233  228  251  236  210 19.140749 0.014125 SUCCESS  25
000111001  257  248  228  236  236  259  267  248  5.644834 0.686946 SUCCESS  26
000111011  235  250  233  265  227  223  246  221  8.283221 0.406305 SUCCESS  27
000111101  256  243  252  231  241  235  251  254  2.602905 0.956759 SUCCESS  28
000111111  248  230  250  231  268  244  247  214  8.079861 0.425708 SUCCESS  29
001000011  233  258  239  231  220  256  244  204 12.065509 0.148305 SUCCESS  30
001000101  245  254  224  235  263  225  272  239  8.947319 0.346760 SUCCESS  31
